District,Primary Schools,Middle Schools,High/Senior Secondary Schools ,Primary Schools Enrollment,Middle Schools Enrollment,High/Senior Secondary Schools Enrollment
Bilaspur,587,95,163,15806,11317,17232
Chamba,1186,242,237,35235,23555,31501
Hamirpur,475,114,161,14560,11265,18279
Kangra,1662,307,534,37932,31283,56529
Kinnaur,172,31,52,2984,1679,2281
Kullu,753,127,152,21459,15171,21374
Lahaul-spiti,178,32,38,1185,640,879
Mandi,1693,306,443,39644,30238,49049
Shimla,1572,283,405,30655,20253,33843
Sirmaur,1032,186,244,33049,21694,29230
Solan,765,139,189,29232,19003,25713
Una,499,86,183,21822,14903,22884
